CI ID,Node IP Address,Node Hostname,Resource IP Address,Resource Name,Operational Status,Resource Type,Resource Description,Resource Alias,Poll Period,Polling,Tags,Bandwidth Configured,Link Id,Link Name,Link Mode,ISP Name,Link Bundle Name,Link Bundle Capacity (Mbps),Requesters
"""130461837324641636476""",10.204.0.40,KKD_KODUVALLY_PRI.federalbank.co.in,10.204.40.1;10.204.40.2,BV1,UP,Ethernet,BVI1,\--- LAN ---,300,Enabled,Quadtri,,,,Secondary,,,,
"""131341025179438420062""",10.204.0.35,KKD-CHALIYAM-PRI.federalbank.co.in,10.204.35.2,BV1,UP,Ethernet,BVI1,\--- LAN ---,300,Enabled,Quadtri,,,,Secondary,,,,
"""130809917231470743618""",10.204.0.41,KKD_KOORACHUNDA_PRI.federalbank.co.in,10.204.41.1;10.204.41.2,BV1,UP,Ethernet,BVI1,*** LAN ***,300,Enabled,Quadtri,,,,Secondary,,,,
"""131294112718932414669""",10.204.0.36,KKD_CHEMBERI_PRI.federalbank.co.in,,Se0/0/0,DOWN,Serial,Serial0/0/0,STRING:,300,Enabled,,,,,Secondary,,,,
"""131299891975654740677""",10.204.0.37,KKD_CHRUPUZHA_PRI.federalbank.co.in,10.100.34.233,Gi0/1,UP,Ethernet,GigabitEthernet0/1,\--- BSNL 4 Mbps ---,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""131328987011562344784""",10.204.0.34,KKD_BEEMANODI_PRI.federalbank.co.in,10.100.34.209,Gi0/5,UP,Ethernet,GigabitEthernet0/5,**** BSNL 4 Mbps ****,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
"""128532418969253974109""",10.203.93.4,THR_KOLAPULLY_Switch.federalbank.co.in,,Gi1/0/6,UP,Ethernet,GigabitEthernet1/0/6,STRING:,300,Enabled,,,,,Secondary,,,,
"""128532418969253974119""",10.203.93.4,THR_KOLAPULLY_Switch.federalbank.co.in,,Gi1/0/11,UP,Ethernet,GigabitEthernet1/0/11,STRING:,300,Enabled,,,,,Secondary,,,,
"""130461837324641636510""",10.204.0.42,KKD_MOTTANTHARRA_PRI.federalbank.co.in,,Gi0/4,UP,Ethernet,GigabitEthernet0/4,*** LAN ***,300,Enabled,,,,,Secondary,,,,
"""131359314310362828967""",10.204.0.43,KKD_MUKKAM_PRI.federalbank.co.in,10.100.33.205,Gi0/1,UP,Ethernet,GigabitEthernet0/1,**** BSNL 6 Mbps ****,300,Enabled,BSNL;Quadtri,,,,Secondary,,,,
